account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
021712b291d71667f3844d2bf63a9731,2020-03-01,True,315,22,5,0.10793650793650793651,0E-20,34,0,0,31,4,1,3,0
021e5266f013a88c8d6fb00e4b9834f7,2020-03-01,True,69,2,0,0.84057971014492753623,0.50000000000000000000,58,1,0,0,0,0,0,1
0224bdbd6bb94682a5b85bd7657dc559,2020-03-01,False,129,13,11,0.52713178294573643411,0.30769230769230769231,68,4,9,1,1,1,10,7
02264510ee88e854019aa7db64c23bcc,2020-03-01,True,12,2,0,0.41666666666666666667,1.00000000000000000000,5,2,0,0,0,0,1,2
022a1b576a23ccb6e16b2120498ccd99,2020-03-01,False,6,2,2,0.16666666666666666667,1.00000000000000000000,1,2,2,0,0,0,0,0
022c6a5a3c21225de8c9d1b10038b59f,2020-03-01,True,4,1,0,0.75000000000000000000,1.00000000000000000000,3,1,0,0,0,0,0,0
022f02d91f4e8433531fbb8ddf992263,2020-03-01,False,4,1,0,0.50000000000000000000,0E-20,2,0,0,0,0,0,0,0
022fdc04f971697018bbac5e1ba663f7,2020-03-01,True,14,2,0,0.78571428571428571429,1.00000000000000000000,11,2,0,0,0,0,0,1
02311867b3d9fd097f55c7442e72bc0e,2020-03-01,False,41,5,3,0.73170731707317073171,0.80000000000000000000,30,4,0,0,0,3,0,1
0235ba972ed7560fd37428fb3a9a8784,2020-03-01,True,130,60,37,0.00769230769230769231,0.01666666666666666667,1,1,14,0,3,20,8,6
0235d993e03ca7073ca705820648f797,2020-03-01,True,57,3,0,0.70175438596491228070,0E-20,40,0,0,0,0,0,1,2
023f544de40fb3c2ca4157950d64b2bc,2020-03-01,False,4403,194,494,0.05178287531228707699,0.46907216494845360825,228,91,57,447,83,354,237,80
023f8116b533e3fcad06a5032acdc9de,2020-03-01,True,10,1,0,0.80000000000000000000,2.0000000000000000,8,2,0,0,0,0,0,0
0245fbb022014f33281f0401191c7442,2020-03-01,True,2,1,0,1.00000000000000000000,0E-20,2,0,0,0,0,0,0,0
024b2213ff7261b832e7d5bb0b228fcd,2020-03-01,True,12,1,3,0.25000000000000000000,5.0000000000000000,3,5,0,0,0,3,0,0
024e74f185cf6b26ee9ed6a883cbbb15,2020-03-01,True,75,21,46,0.05333333333333333333,0.04761904761904761905,4,1,23,0,4,19,15,2
024faf4a64c102b3d2d19cf32aae784a,2020-03-01,False,10,2,2,0.80000000000000000000,0E-20,8,0,0,0,0,2,0,0
024fed559af9f32623747745482fd9bc,2020-03-01,True,4,2,0,0.50000000000000000000,0E-20,2,0,0,0,0,0,0,1
0257f2dc8d493220a7a108b6c715ebcf,2020-03-01,True,31,13,3,0.54838709677419354839,0.84615384615384615385,17,11,0,0,3,0,0,0
025d3e880c971bb9fe5697aeb3e6186b,2020-03-01,False,166,8,2,0.78915662650602409639,0E-20,131,0,1,0,0,1,1,5
0262be0a906c45140656cf41a9d9686e,2020-03-01,True,9,2,0,0.88888888888888888889,0E-20,8,0,0,0,0,0,0,1
0275c3829e861e1cde8d347ceae46d92,2020-03-01,False,4,2,1,0.75000000000000000000,0E-20,3,0,0,0,1,0,0,0
02772c339163b7e86252ed73b9ec02e8,2020-03-01,True,65,2,0,0.13846153846153846154,0E-20,9,0,0,0,0,0,0,0
027fdc4104875b77b3514ab67e4a69cd,2020-03-01,False,21,5,1,0.71428571428571428571,0.60000000000000000000,15,3,0,0,1,0,0,0
0289d4aa8112452b8d73678c206edd34,2020-03-01,True,32,8,1,0.56250000000000000000,0.25000000000000000000,18,2,1,0,0,0,7,0
028d62535544aca1446fd2f76d461c9d,2020-03-01,True,28,5,0,0.57142857142857142857,0.80000000000000000000,16,4,0,0,0,0,3,1
029092e9ccde8f02774419879da3bd98,2020-03-01,True,94,6,7,0.53191489361702127660,0.16666666666666666667,50,1,1,19,1,5,0,2
029d718911d7fedd770aee70b125a61e,2020-03-01,True,28,2,4,0.57142857142857142857,0E-20,16,0,4,0,0,0,3,1
